nome_completo,numero_identificador,titulo,periodico,ano,autores,Qualis
Diego Ted Rodrigues Bogea,1.4344E+15,Cinema e Tecnologias Digitais:O Ensino de Arte e a produção audiovisual através do aplicativo Vegas PRO 14,Revista Projeção e Docência,2019,BOGÉA. D. T. R. / SANTOS. S. M. / DIAS. G. K. A. / BOGEA. M. F. S.,B1
Diego Ted Rodrigues Bogea,1.4344E+15,O Power Point como ferramenta para o ensino de Geometria no Ensino Fundamental,Revista Querubim (Online),2020,FREITAS. F. S. / ALENCAR. P. H. A. / BOGEA. M. F. S. / BOGÉA. D. T. R.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Experiências Digitais na Arte-Educação: Uma análise sobre o museu Casa de Portinari,FUCAMP Cadernos,2020,BOGEA. M. F. S. / BOGÉA. D. T. R. / COSTA. K. E. S. / ROCHA. V. M.,B2
Diego Ted Rodrigues Bogea,1.4344E+15,Calculando Digitalmente: uma análise de alguns aplicativos de cálculos e suas funcionalidades,B2,2020,BOGEA. M. F. S. / BOGÉA. D. T. R. / MORAIS. M. C. / ROCHA. V. M.,B2
Diego Ted Rodrigues Bogea,1.4344E+15,O ensino da Geografia através das tecnologias digitais: um estudo sobre o aplicativo Cambitolândia,Revista Querubim (Online),2020,BOGEA. M. F. S. / BOGÉA. D. T. R. / GONTIJO. C. S. S. / SOUZA. L. M. V. / OLIVEIRA. Y. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Contribuições do aplicativo Anki para a memorização e a aprendizagem,Revista Querubim (Online),2020,BOGÉA. D. T. R. / BOGEA. M. F. S. / CASTRO. S. O. / SOUSA. R. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,O software Aprovado - Gerencie Estudos: uma análise sobre um aplicativo de gerenciamento de tempo para estudantes,Revista Querubim (Online),2020,BOGEA. M. F. S. / BOGÉA. D. T. R. / CASTRO. S. O. / SOUSA. R. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Ensino de programação: uma revisão sistemática e suas aplicações ao Ensino Profissional,FUCAMP Cadernos,2020,BOGÉA. D. T. R. / GOMES JUNIOR. D. L.,B2
Diego Ted Rodrigues Bogea,1.4344E+15,Plataformas online para aulas remotas: Análise Comparativa das funcionalidades dos aplicativos de vídeoconferência Meet e Zoom,Revista Querubim (Online),2022,BOGÉA. D. T. R. / BOGEA. M. F. S. / SOUSA. I. J. / SILVA. J. M. / COSTA. P. L. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,O Spotify como ferramenta de aprendizado utilizando a função Podcast,Revista Querubim (Online),2022,BOGÉA. D. T. R. / BOGEA. M. F. S. / CASTRO. S. O. / SOUSA. R. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Educação Financeira e Aplicativos Digitais: um estudo sobre o aplicativo MOBILLSEDU,Revista Querubim (Online),2022,FONCECA. M. F. L. / RODRIGUES. M. B. / BOGÉA. D. T. R. / BOGEA. M. F. S.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Grasshopper: Ferramenta para o aprendizado Gratuito de Programação,Revista Querubim (Online),2022,BOGEA. M. F. S. / BOGÉA. D. T. R. / SILVA. J. C. C. / OLIVEIRA. P. S.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Software Gratuito para Edição: Uma análise do aplicativo Inkscape,Revista Querubim (Online),2022,BOGEA. M. F. S. / BOGÉA. D. T. R. / BRITO. A. M. / SILVA. L. G. / AQUINO. T. L. / BRITO. W.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Ensino de Programação na Educação Pública Infantil na cidade de Imperatriz- uma análise da plataforma A Hora do Código,Revista Querubim (Online),2022,BOGEA. M. F. S. / BOGÉA. D. T. R. / ANTUNES. T. F. C. / SANTOS FILHO. F. L. P. / RIBEIRO. M. O. / HOLANDA. F. L.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Estudo de Websites de Educação na área de Ciência da Natureza e Matemática: Brilliant e Khan Academy,Revista Querubim (Online),2022,BOGÉA. D. T. R. / BOGEA. M. F. S. / SILVA. I. V. M.,B3
Diego Ted Rodrigues Bogea,1.4344E+15,Desafios discentes na pós-Graduação: Uma proposta pedagógica de acompanhamento para a disciplina Estágio de Docência,CADERNOS DA FUCAMP,2023,CRUZ. C. G. / BOGÉA. D. T. R.,A4
