numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
7391817556443117,23052024,Artigo Publicado,Controle lógico de processo industrial virtualizado por meio de simulação hardware-in-the-loop para o ensino de controlador lógico programável,2023.0,,,,REVISTA DE ENGENHARIA E TECNOLOGIA,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.)",A2
7391817556443117,23052024,Artigo Publicado,Proposing Robotics Challenge Centered on Material Transportation in Smart Manufacturing,2023.0,,,,"WORLD ACADEMY OF SCIENCE, ENGINEERING AND TECHNOLOGY",,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Marcus Vinicius de Souza Almeida (ALMEIDA, M. V. S.), Caio Vinícius Silva do Carmo (CARMO, C. V. S.)",A2
4370694807878074,4022024,Artigo Publicado,The Development and Characterization of Babassu Oil Fuels Nanoemulsions (Attalea speciosa),2022.0,,,,REVISTA VIRTUAL DE QUÍMICA,,,"COSTA LOUZEIRO, HILTON (COSTA LOUZEIRO, HILTON), CARVALHO SILVA, FERNANDO (CARVALHO SILVA, FERNANDO), MARIA C. M. SANTOS, ANGELA (MARIA C. M. SANTOS, ANGELA), ROBERTO B. GOMES, PAULO (ROBERTO B. GOMES, PAULO), ALVES FONTENELE, MARIA (ALVES FONTENELE, MARIA), E. MOUCHREK FILHO, VICTOR (E. MOUCHREK FILHO, VICTOR), DERMONDES SOUZA, RÔMICY (DERMONDES SOUZA, RÔMICY), CANDIDA S. DE SANT?ANNA, MIKELE (CANDIDA S. DE SANT?ANNA, MIKELE), Cássio da Silva Dias (DA SILVA DIAS, CASSIO), PEREIRA MACIEL, ADEILTON (PEREIRA MACIEL, ADEILTON)",B1
4370694807878074,4022024,Artigo Publicado,Effect of fruit maturity on the composition of high-value components and biological activities of olives from newly developed cultivars,2023.0,,,,Arabian Journal of Chemistry,,,"ULLAH, SAMI (ULLAH, SAMI), ANWAR, FAROOQ (ANWAR, FAROOQ), REHMAN, MUHAMMAD FAYYAZ UR (REHMAN, MUHAMMAD FAYYAZ UR), QADIR, RAHMAN (QADIR, RAHMAN), ANSAR, MUHAMMAD RAMZAN (ANSAR, MUHAMMAD RAMZAN), ALI, HAYSSAM M. (ALI, HAYSSAM M.), MUSTAQEEM, MUHAMMAD (MUSTAQEEM, MUHAMMAD), Cássio da Silva Dias (DA SILVA DIAS, CÁSSIO)",B3
4370694807878074,4022024,Artigo Publicado,Microemulsões combustíveis à base de óleo de babaçu (Orbignya martiniana). rev. ion. 2020;33(2):71-81. doi:10.18273/revion.v33n2-2020006Microemulsões combustíveis à base de óleo de babaçu (Orbignya martiniana),2020.0,,,,REVISTA ION,,,"PAULO ROBERTO GOMES BARROS (BARROS GOMES, PAULO ROBERTO), Karlene Kelen Marques Mendonça (MENDONCA, K. K. M.), Cássio da Silva Dias (DA'S.'DIAS, CÁSSIO), VICTOR ELIAS MOUCHREK FILHO (MOUCHREK FILHO, VICTOR ELIAS), Hilton Costa Louzeiro (LOUZEIRO, H. C.), Fernando Carvalho Silva (SILVA, F. C.), Adeilton Pereira Maciel (MACIEL, A. P.), MARIA ALVES FONTENELE (FONTENELE, MARIA ALVES)",A3
1471302586996212,1032024,Artigo Publicado,HDP Algorithms for Trajectory Tracking and Formation Control of Multi-Agent Systems,2022.0,,,,IEEE Access,,,"Ernesto Franklin Marçal Ferreira (FERREIRA, ERNESTO F. M.), NETO, JOAO VIANA DA FONSECA (NETO, JOAO VIANA DA FONSECA), SELMIC, RASTKO R. (SELMIC, RASTKO R.)",A3
1471302586996212,1032024,Artigo Publicado,On the design and analysis of structured-ANN for online PID-tuning to bulk resumption process in ore mining system,2020.0,,,,NEUROCOMPUTING,,,"José Pinheiro de Moura (Moura, José Pinheiro), NETO, JOÃO VIANA FONSECA (NETO, JOÃO VIANA FONSECA), Ernesto Franklin Marçal Ferreira (FERREIRA, ERNESTO FRANKLIN MARÇAL), FILHO, EVANDRO MARTINS ARAUJO (FILHO, EVANDRO MARTINS ARAUJO)",A3
492258307823434,29052024,Artigo Publicado,Physicochemical properties calculated using DFT method and changes of 5-methyluridine hemihydrate crystals at high temperatures,2022.0,,,,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,,,"Jhonatam de Oliveira Carvalho (CARVALHO, JHONATAM O.), OLIVEIRA NETO, JOÃO G. (OLIVEIRA NETO, JOÃO G.), SILVA FILHO, JOSÉ G. (SILVA FILHO, JOSÉ G.), DE SOUSA, FRANCISCO F. (DE SOUSA, FRANCISCO F.), FREIRE, PAULO T.C. (FREIRE, PAULO T.C.), SANTOS, ADENILSON O. (SANTOS, ADENILSON O.), FAÇANHA FILHO, PEDRO F. (FAÇANHA FILHO, PEDRO F.)",A4
492258307823434,29052024,Artigo Publicado,Elucidating l-tyrosine crystal phase transitions by Raman spectroscopy and ab initio calculations,2023.0,,,,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,,,"SANTOS, C.A.A.S. (SANTOS, C.A.A.S.), VASCONCELOS, D.L.M. (VASCONCELOS, D.L.M.), NOGUEIRA, C.E.S. (NOGUEIRA, C.E.S.), Freire, P.T.C. (Freire, P.T.C.), LIMA, J.A. (LIMA, J.A.), Lima, R.J.C. (Lima, R.J.C.), SANTOS, A.O. DOS (SANTOS, A.O. DOS), Jhonatam de Oliveira Carvalho (CARVALHO, J.O.), FAÇANHA FILHO, P.F. (FAÇANHA FILHO, P.F.)",A4
492258307823434,29052024,Artigo Publicado,Conhecimento ambiental de trabalhadores rurais sobre o uso de agrotóxicos em um assentamento do município de Açailândia (Maranhão),2021.0,,,,Educação Ambiental (Brasil),,,"Carlos Alberto Andrade Serra dos Santos (SANTOS, C. A. A. S.), Jociane Batista Souza (SOUZA, J. B.), Mathias da Silva Barros (BARROS, M. S.), Jhonatam de Oliveira Carvalho (CARVALHO, J. O.), Ivo Almeida Costa (COSTA, I. A.), Bruno Lucio Meneses Nascimento (NASCIMENTO, B. L. M.)",A2
492258307823434,29052024,Artigo Publicado,"Investigation of the structural, thermal, and spectroscopic properties of L-threonine crystal containing Eu3+ ions for use in visible light-emitting devices",2023.0,,,,Journal of Materials Science: Materials in Electronics,,,"DE OLIVEIRA NETO, JOÃO GOMES (DE OLIVEIRA NETO, JOÃO GOMES), MARQUES, JACIVAN VIANA (MARQUES, JACIVAN VIANA), DA SILVA NETO, OTÁVIO CÂNDIDO (DA SILVA NETO, OTÁVIO CÂNDIDO), Jhonatam de Oliveira Carvalho (DE OLIVEIRA CARVALHO, JHONATAM), DA SILVA, LUZELI MOREIRA (DA SILVA, LUZELI MOREIRA), MENDES, FERNANDO (MENDES, FERNANDO), MACÊDO, ANA ANGÉLICA MATHIAS (MACÊDO, ANA ANGÉLICA MATHIAS), DOS SANTOS, ADENILSON OLIVEIRA (DOS SANTOS, ADENILSON OLIVEIRA)",A4
2456396945890073,26052024,Artigo Publicado,A Roda de Conversa como proposta metodológica na formação docente para favorecimento da leitura crítica de questões socioambientais,2019.0,,,,LATIN  AMERICAN  JOURNAL  OF  SCIENCE  EDUCATION,,,"Jackeline Valendolf Nunes (NUNES, J. V.), Kátia Dias Ferreira Ribeiro (RIBEIRO, K. D. F.)",A1
2456396945890073,26052024,Artigo Publicado,Criação de uma exposição de ciências como prática educativa para promover a divulgação científica sobre o sistema digestório humano para o público infantil,2020.0,,,,SCIENTIFIC ELECTRONIC ARCHIVES,,,"Wislaine Cardoso de Oliveira (OLIVEIRA, W. C.), Lorenna Cardoso Rezende (REZENDE, L. C.), Clarianna Martins Baicere Silva (SILVA, C. M. B.), Camila Guedes Tiburcio Pazim (PAZIM, C. G. T.), Kátia Dias Ferreira Ribeiro (RIBEIRO, K. D. F.)",A2
2456396945890073,26052024,Artigo Publicado,Questões sociocientíficas no design de sequência de atividades de ensino e aprendizagem para o ensino médio,2020.0,,,,SCIENTIFIC ELECTRONIC ARCHIVES,,,"Kátia Dias Ferreira Ribeiro (RIBEIRO, K. D. F.)",A2
2456396945890073,26052024,Artigo Publicado,METODOLOGIA PARTICIPATIVA NA ABORDAGEM DE QUESTÕES SOCIOCIENTÍFICAS: CONSIDERAÇÕES ACERCA DO DIÁLOGO,2020.0,,,,REVISTA REAMEC,,,"Kátia Dias Ferreira Ribeiro (RIBEIRO, K. D. F.)",A1
2456396945890073,26052024,Artigo Publicado,As Questões sociocientíficas no enfrentamento aos desafios da interdisciplinaridade na formação de docentes de ciências naturais e matemática,2020.0,,,,LATIN  AMERICAN  JOURNAL  OF  SCIENCE  EDUCATION,,,"Kátia Dias Ferreira Ribeiro (RIBEIRO, K. D. F.), Marta Maria Pontin Darsie (DARSIE, M. M. P.)",A1
2456396945890073,26052024,Artigo Publicado,UTILIZAÇÃO DE METODOLOGIAS ATIVAS APOIADAS EM TECNOLOGIAS DIGITAIS PARA O ENSINO DE QUÍMICA: UM RELATO DE EXPERIÊNCIA,2021.0,,,,REVISTA REAMEC,,,"FIELD´S, KARLA AMÂNCIO PINTO (FIELD´S, KARLA AMÂNCIO PINTO), Kátia Dias Ferreira Ribeiro (RIBEIRO, KATIA DIAS FERREIRA), SOUZA, RAQUEL APARECIDA (SOUZA, RAQUEL APARECIDA)",A1
8768689161696142,11032024,Artigo Publicado,"Megasoma actaeon (Linnaeus) (Scarabaeidae: Dynastinae): first record for Maranhão state, northeastern Brazil",2019.0,,,,Scientia Amazonia,,,"Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Kleber Sales Pereira (PEREIRA, Kleber S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Elson Silva de Sousa (SOUSA, E. S.), Wully Barreto da Silva (SILVA, W. B.)",A1
8768689161696142,11032024,Artigo Publicado,"LEVANTAMENTO QUALI-QUANTITATIVO DA ARBORIZAÇÃO URBANA NO MUNICÍPIO DE BURITICUPU, MA",2019.0,,,,Revista Brasileira de Arborização Urbana,,,"Lidia Aguiar de Sousa (SOUSA, L. A.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Debora da Silva Colacio (COLACIO, D. S.), Elson Silva de Sousa (SOUSA, E. S.), Kleber Sales Pereira (PEREIRA, Kleber S.)",A2
8768689161696142,11032024,Artigo Publicado,"BOTÂNICA, CAI TANTO -ENEM? SABIA! UMA ANÁLISE DO PERFIL DOS ITENS NO ENEM",2021.0,,,,Revista Brasileira de Ensino de Ciências e Matemática,,,"ALVES, JAIANE NUNES (ALVES, JAIANE NUNES), SOUSA, ELSON SILVA (SOUSA, ELSON SILVA), MARTINS, JESUINO DA SILVA COSTA (MARTINS, JESUINO DA SILVA COSTA), CORDEIRO, ROGÉRIO SOARES (CORDEIRO, ROGÉRIO SOARES), Kleber Sales Pereira (PEREIRA, KLÉBER SALES), SOUSA, MAGNO FERREIRA (SOUSA, MAGNO FERREIRA), SILVA, MARIA IZAIANE LOURENÇO (SILVA, MARIA IZAIANE LOURENÇO)",B3
8768689161696142,11032024,Artigo Publicado,O uso de História em Quadrinhos como estratégia de ensino sobre as bactérias no Ensino Fundamental,2020.0,,,,Brazilian Journal of Development,,,"SANTOS, WALDEILSON SANTANA (SANTOS, WALDEILSON SANTANA), CORDEIRO, ROGÉRIO SOARES (CORDEIRO, ROGÉRIO SOARES), SOUSA, ELSON SILVA (SOUSA, ELSON SILVA), CAJAIBA, REINALDO LUCAS (CAJAIBA, REINALDO LUCAS), Kleber Sales Pereira (PEREIRA, KLEBER SALES), SOUSA, VILSON DE ALMEIDA (SOUSA, VILSON DE ALMEIDA), MARTINS, JESUINO DA SILVA COSTA (MARTINS, JESUINO DA SILVA COSTA)",B4
8768689161696142,11032024,Artigo Publicado,Livro ?Guia para as aulas práticas de Botânica?: análise do uso de materiais didáticos para o Ensino,2020.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"Roziele dos Santos Barros Costa (COSTA, R. S. B.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Kleber Sales Pereira (PEREIRA, Kleber S.)",B4
8768689161696142,11032024,Artigo Publicado,Análise de imagens sobre Evolução Humana por Estudantes de Ensino Médio,2020.0,,,,Brazilian Journal of Development,,,"Edeane Silva de Sousa (SOUSA, E. S.), Rogerio Soares Cordeiro (CORDEIRO, R. S.), Jesuino da Silva Costa Martins (MARTINS, J. S. C.), Elson Silva de Sousa (SOUSA, E. S.), Reinaldo Lucas Cajaiba (CAJAIBA, R. L.), Martha Sousa Brito Pereira (PEREIRA, M. S. B.), Kleber Sales Pereira (PEREIRA, Kleber S.), Vilson de Almeida Sousa (SOUSA, V. A.)",B4
