numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
1914277573314198,26032024,Artigo Publicado,QUALIDADE DO LEITE DE CABRAS ALIMENTADAS COM QUIRERA DE ARROZ (Oryza sativa L.),2020.0,,,,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,,,"Rodrigo Maciel Calvet (CALVET, R. M.), Maria da Penha Silva do Nascimento (NASCIMENTO, M. P. S.), Bruno Kaik Alves (ALVES, B. K.), Joyce Bitencourt Athayde Lima (LIMA, J. B. A.), Maria Christina Sanches Muratori (MURATORI, M. C. S.), Maria Marlúcia Gomes Pereira  Nóbrega (NOBREGA, M. M. G. P.), Aline Marques Monte (MONTE, A. M.), Aldivan Rodrigues Alves (ALVES, A.R.)",A1
1914277573314198,26032024,Artigo Publicado,PROMOÇÃO DO DESENVOLVIMENTO DE Desmanthus virgatus L. WILLD POR AÇÃO DE RIZÓBIOS,2020.0,,,,RAMA - Revista em Agronegócio e Meio Ambiente,,,"Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), EDVANIA DA CONCEIÇÃO SARMENTO (SARMENTO, E. C.), Aldivan Rodrigues Alves (ALVES, A.R.), Liliane Pereira Santana (SANTANA, L. P.), Régia Maria Reis GUALTER (GUALTER, R. M. R.)",B1
1914277573314198,26032024,Artigo Publicado,Diagnóstico bioclimático para animais de produção na região dos Cocais-MA,2021.0,,,,Brazilian Journal of Development,,,"Aldivan Rodrigues Alves (ALVES, A.R.), Airla da Costa Silva (SILVA, A. C.), Maria Verônica Meira de Andrade (ANDRADE, M. V. M.), Joyce Bitencourt Athayde Lima (LIMA, J. B. A.), LIDUÍNA DA SILVA PINTO (PINTO, L. S.)",B4
1914277573314198,26032024,Artigo Publicado,A fluência leitora no Ensino Fundamental,2022.0,,,,CONJECTURAS,,,"PINTO, LIDUÍNA DA SILVA (PINTO, LIDUÍNA DA SILVA), SILVA, DERILENE PEREIRA DA (SILVA, DERILENE PEREIRA DA), Aldivan Rodrigues Alves (RODRIGUES ALVES, ALDIVAN), SILVA, JOSEANE MAIA SANTOS (SILVA, JOSEANE MAIA SANTOS)",B3
1914277573314198,26032024,Artigo Publicado,Inter-relações do ensino integral com ensino integrado no curso técnico de agropecuária,2022.0,,,,CONJECTURAS,,,"CRUZ, JUCILENE MARCIA RAMEIRO DE ARAÚJO (CRUZ, JUCILENE MARCIA RAMEIRO DE ARAÚJO), Aldivan Rodrigues Alves (Alves, Aldivan Rodrigues), OLIVEIRA, JOSIANE SOUSA COSTA DE (OLIVEIRA, JOSIANE SOUSA COSTA DE), PINTO, LIDUÍNA DA SILVA (PINTO, LIDUÍNA DA SILVA)",B3
7596690339462078,15032024,Artigo Publicado,A literatura de cordel como metodologia ativa no ensino e aprendizagem de Química,2021.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"Antonia Carliane Sousa Oliveira (OLIVEIRA, A. C. S.), Joniery Rubim de Souza (SOUZA, J. R.), Karine da Silva Almeida (ALMEIDA, K. S.), Bruna Martina Araújo da Silva (SILVA, B. M. A.), Ana Júlia Rêgo Vieira da Luz (VIEIRA, Ana Júlia Rêgo)",B4
7596690339462078,15032024,Artigo Publicado,Educação popular Rompendo barreiras educacionais,2022.0,,,,Formação em Movimento,,,"Alessandra Fonseca Farias (FARIAS, A. F.), Vanessa Xavier Silva Sousa Gomes (GOMES, V. X. S. S.), Ana Júlia Rêgo Vieira da Luz (VIEIRA, Ana Júlia Rêgo)",B1
7747433671061040,19032024,Artigo Publicado,Q-LIBRAS: um jogo educacional para estimular alunos surdos à aprendizagem de Química,2019.0,,,,REVISTA EDUCAÇÃO ESPECIAL,,,"ROCHA, KIONNYS NOVAES (ROCHA, KIONNYS NOVAES), ALMEIDA, NAYRON MORAIS (ALMEIDA, NAYRON MORAIS), Cecília Regina Galdino Soares (SOARES, CECÍLIA REGINA GALDINO), SILVA, LUÍS FERNANDO MAIA SANTOS (SILVA, LUÍS FERNANDO MAIA SANTOS)",A1
7747433671061040,19032024,Artigo Publicado,MATERIAIS DIDÁTICOS PARA O ENSINO APRENDIZADO DE ALUNOS COM  AUTISMO DO ENSINO FUNDAMENTAL EM ESCOLA PÚBLICA,2020.0,,,,EXPERIÊNCIAS EM ENSINO DE CIÊNCIAS (UFRGS),,,"Kellyane Karen Ferreira Aguiar Cesar (CESAR, K. K. F. A.), Laura Almeida de Oliveira (OLIVEIRA, L. A.), Lorena Gonçalves Araújo (ARAUJO, L. G.), Cecília Regina Galdino Soares (SOARES, CECÍLIA REGINA GALDINO)",B1
7747433671061040,19032024,Artigo Publicado,Um olhar para o Ensino de Química para os alunos surdos do Ensino Medio,2023.0,,,,DEVIR EDUCAÇÃO,,,"Cecília Regina Galdino Soares (SOARES, CECÍLIA REGINA GALDINO)",B3
5744463389528626,11042024,Artigo Publicado,O mal-estar docente no ensino de física: perspectivas e desafios,2020.0,,,,"Research, Society and Development",,,"AGUIAR, MATHEUS DIAS (AGUIAR, MATHEUS DIAS), SOUSA, FERNANDA DA SILVA COÊLHO DE SÁ (SOUSA, FERNANDA DA SILVA COÊLHO DE SÁ), Fabrícia da Silva Machado (MACHADO, FABRICIA DA SILVA), SANTOS, ANTONIO MARQUES DOS (SANTOS, ANTONIO MARQUES DOS)",A3
9873911167250003,16042024,Artigo Publicado,DESMISTIFICANDO OS MORCEGOS: SENSIBILIZAÇÃO DE DISCENTES DO ENSINO FUNDAMENTAL PARA CONSERVAÇÃO DA BIODIVERSIDADE,2019.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Fábio Henrique de Souza Cardoso (CARDOSO, F. H. S.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Daniel Silas Veras dos Santos (VERAS-DOS-SANTOS)",B1
9873911167250003,16042024,Artigo Publicado,Trichomes  are  effective  attributes  against  folivory  in  areas  of  secondary forest in ecotone Cerrado-Caatinga,2019.0,,,,Revista Arquivos Científicos (IMMES),,,"Guilherme Santana Lustosa (LUSTOSA, G. S.), Daniel Silas Veras dos Santos (VERAS-DOS-SANTOS)",A2
9873911167250003,16042024,Artigo Publicado,Evaluating the habitat integrity index as a potential surrogate for monitoring the water quality of streams in the cerrado-caatinga ecotone in northern Brazil,2019.0,,,,ENVIRONMENTAL MONITORING AND ASSESSMENT,,,"VERAS, DANIEL SILAS (VERAS, DANIEL SILAS), CASTRO, ELIZETE RIBEIRO (CASTRO, ELIZETE RIBEIRO), Guilherme Santana Lustosa (LUSTOSA, GUILHERME SANTANA), DE AZEVÊDO, CARLOS AUGUSTO SILVA (DE AZEVÊDO, CARLOS AUGUSTO SILVA), JUEN, LEANDRO (JUEN, LEANDRO)",A2
9873911167250003,16042024,Artigo Publicado,TERRÁRIO COMO INSTRUMENTO DIDÁTICO-PEDAGÓGICO PARA O ENSINO SOBRE ECOSSISTEMA,2020.0,,,,Scientia Amazonia,,,"Maria Fernanda Ribeiro Ferreira (FERREIRA, M. F. R.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Ricardo da Silva Carvalho (CARVALHO, R. S.), Daniel Silas Veras dos Santos (VERAS, D. S.)",A1
9873911167250003,16042024,Artigo Publicado,Biomonitoramento participativo como ferramenta de sensibilização para conservação de riachos urbanos.,2020.0,,,,Scientia Amazonia,,,"Lucas Pereira Moura (MOURA, L. P.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Daniel Silas Veras dos Santos (VERAS, D. S.), Ricardo da Silva Carvalho (CARVALHO, R. S.)",A1
9873911167250003,16042024,Artigo Publicado,Differences in land use modify Odonata assemblages in the Cerrado-Caatinga ecotone.,2020.0,,,,ACTA LIMNOLOGICA BRASILIENSIA (ONLINE),,,"Daniel Silas Veras dos Santos (VERAS, D. S.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Lucas Pereira Moura (MOURA, L. P.), Maria Fernanda Ribeiro Ferreira (FERREIRA, M. F. R.), Leandro Juen (Juen, L.)",A2
9873911167250003,16042024,Artigo Publicado,"Environmental gradients as filters on the composition of aquatic insect of the Cerrado-Caatinga, Brazil",2020.0,,,,Acta Brasiliensis,,,"Carolina Gomes Viana (VIANA, C. G.), Ingrid Reis Campos (CAMPOS, I. R.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Daniel Silas Veras dos Santos (VERAS, D. S.)",A2
9873911167250003,16042024,Artigo Publicado,Effects of Environmental Variables and Habitat Integrity on the Structure of the Aquatic Insect Communities of Streams in the Cerrado-Caatinga Ecotone in Northeastern Brazil,2020.0,,,,NEOTROPICAL ENTOMOLOGY,,,"Elizete Ribeiro Castro (CASTRO, E. R.), Daniel Silas Veras dos Santos (VERAS, D. S.), Guilherme Santana Lustosa (LUSTOSA, G. S.), C. A. S. Azevêdo (AZEVEDO, C. A. S.), Leandro Juen (Juen, L.)",B1
9873911167250003,16042024,Artigo Publicado,CONCEPÇÃO DE DISCENTES DO ENSINO MÉDIO INTEGRADO SOBRE NATUREZA DA CIÊNCIA,2020.0,,,,CADERNOS CAJUÍNA,,,"Nubia de Sousa da Conceição (CONCEICAO, N. S.), Daniel Silas Veras dos Santos (VERAS-DOS-SANTOS), Ellen Sarah Veras Sousa Paiva (PAIVA, E. S. V. S.), Guilherme Santana Lustosa (LUSTOSA, G. S.)",B3
9873911167250003,16042024,Artigo Publicado,El desafío de los dragones: ampliando las posibilidades para la enseñanza de la ciencia y la educación ambiental,2022.0,,,,HETAERINA boletim da Sociedade de Odonatologia Latinoamericana (SOL).,,,"Daniel Silas Veras dos Santos (VERAS-DOS-SANTOS), Guilherme Santana Lustosa (LUSTOSA, G. S.), Carolina Gomes Viana (VIANA, C. G.)",A3
9873911167250003,16042024,Artigo Publicado,Environmental thresholds of dragonflies and damselflies from a Cerrado-Caatinga ecotone,2022.0,,,,ENVIRONMENTAL MONITORING AND ASSESSMENT,,,"VERAS, DANIEL SILAS (VERAS, DANIEL SILAS), PINTO, NELSON SILVA (PINTO, NELSON SILVA), CALVÃO, LENIZE (CALVÃO, LENIZE), Guilherme Santana Lustosa (LUSTOSA, GUILHERME SANTANA), DE AZEVÊDO, CARLOS AUGUSTO SILVA (DE AZEVÊDO, CARLOS AUGUSTO SILVA), JUEN, LEANDRO (JUEN, LEANDRO)",A2
9873911167250003,16042024,Artigo Publicado,"Conhecimentos estatísticos: percepções de educandos do Ensino Médio, em uma escola pública, no município de Caxias, Maranhão",2021.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"OLIVEIRA, FRANCINETE SOUSA DE (OLIVEIRA, FRANCINETE SOUSA DE), FERREIRA, MARIA FERNANDA RIBEIRO (FERREIRA, MARIA FERNANDA RIBEIRO), Guilherme Santana Lustosa (LUSTOSA, GUILHERME SANTANA)",B4
9873911167250003,16042024,Artigo Publicado,PERCEPCIÓN DE ESTUDIANTES DE LA ENSENANZA SECUNDARIA SOBRE LA CLASE DE ECOLOGÍA EXPERIMENTAL CON APLICACIONES ESTADÍSTICAS,2023.0,,,,CADERNOS CAJUÍNA,,,"Carolina Gomes Viana (VIANA, C. G.), Ingrid Reis Campos (CAMPOS, I. R.), Antônia da Silva Ribeiro Gonçalves Neta (GONCALVES NETA, A. S. R.), Guilherme Santana Lustosa (LUSTOSA, G. S.), Daniel Silas Veras dos Santos (VERAS, D. S.)",B3
8332632358868234,7042024,Artigo Publicado,Modification of kaolinite from Pará/Brazil region applied in the anionic dye photocatalytic discoloration,2019.0,,,,APPLIED CLAY SCIENCE,,,"Joaldo da Silva Lopes (LOPES, JOALDO DA SILVA), RODRIGUES, WALLONILSON VERAS (RODRIGUES, WALLONILSON VERAS), OLIVEIRA, VAEUDO VALDIMIRO (OLIVEIRA, VAEUDO VALDIMIRO), BRAGA, ALUSKA DO NASCIMENTO SIMÕES (BRAGA, ALUSKA DO NASCIMENTO SIMÕES), DA SILVA, REGIANE TEIXEIRA (DA SILVA, REGIANE TEIXEIRA), FRANÇA, ALINE APARECIDA CARVALHO (FRANÇA, ALINE APARECIDA CARVALHO), DA PAZ, EDSON CARVALHO (DA PAZ, EDSON CARVALHO), OSAJIMA, JOSY ANTEVELI (OSAJIMA, JOSY ANTEVELI), DA SILVA FILHO, EDSON CAVALCANTI (DA SILVA FILHO, EDSON CAVALCANTI)",B2
8332632358868234,7042024,Artigo Publicado,A INCLUSÃO DA EDUCAÇÃO AMBIENTAL NO PROCESSO DE ENSINO E APRENDIZAGEM NA VISÃO DE PROFESSORES E ALUNOS DE UMA ESCOLA PÚBLICA EM CAXIAS-MA,2021.0,,,,ACTA TECNOLÓGICA,,,"MAIA, NEZILINA DOS SANTOS (MAIA, NEZILINA DOS SANTOS), ARAÚJO, WALDIRENE PEREIRA (ARAÚJO, WALDIRENE PEREIRA), PÊSSOA, PEDRO ALBERTO PAVÃO (PÊSSOA, PEDRO ALBERTO PAVÃO), Joaldo da Silva Lopes (LOPES, JOALDO DA SILVA)",B4
8701318125542946,29042024,Artigo Publicado,"Análise físico-química e sensorial de iogurtes produzidos com leite de búfala, cabra e vaca",2020.0,,,,Brazilian journal of Development,,,"José Manoel de Moura Filho (MOURA FILHO, J. M.), Nayara Pereira Lima (LIMA, N. P.), Nivea Maria Vieira Melo (MELO, N. M. V.), LIANE CAROLINE SOUSA NASCIMENTO (NASCIMENTO, L. C. S.)",A1
8701318125542946,29042024,Artigo Publicado,"Geleia de buriti convencional, light e diet: desenvolvimento, caracterização físico-química, microbiológica e sensorial",2020.0,,,,Brazilian Journal of Development,,,"Poliana Brito de Sousa (SOUSA, P. B.), Mírian Ribeiro Galvão Machado (MACHADO, M. R. G.), José Manoel de Moura Filho (MOURA FILHO, J. M.), Irismar Santos Cruz Feitosa (FEITOSA, I. S. C.), Apolinário Fialho Filho (FIALHO FILHO, A.), Alexandra Brito de Sousa (SOUSA, A. B.), Neilane Gomes da Rocha (ROCHA, N. G.), Camila de Carvalho Chaves (CHAVES, C. C.), Manoel de Jesus Marques da Silva (SILVA, M. J. M.)",B4
3178383774586996,15032024,Artigo Publicado,Mecanismo de controle de acesso a dados em redes smart grid / Data access control mechanism in smart grid networks,2021.0,,,,Brazilian Journal of Development,,,"Josenilson Dias Araújo (ARAÚJO, JOSENILSON DIAS), DE MELO, LEONARDO SILVA (DE MELO, LEONARDO SILVA)",B4
3607732505928579,5042024,Artigo Publicado,Molecular characterization and antimicrobial resistence of pathogenic Escherichia coli isolatedfrom raw milk and Minas Frescal cheeses in Brazil,2019.0,,,,JOURNAL OF DAIRY SCIENCE,,,"José Carlos Ribeiro Júnior (RIBEIRO JUNIOR, J. C.), V. Beloti (V. Beloti), Joyce Bitencourt Athayde Lopes (Lopes, Joyce Bitencourt Athayde), F.F. Silva (SILVA, F.), E. H. Ossugui (E. H. Ossugui), P. I. Teider Junior (O. I. Teider Junior), A.C. L. P. Campos (A.C. L. P. Campos), A. Navarro (A. Navarro), R. Tamanini (R. Tamanini), J. Ribeiro (J. Ribeiro), A. A. Alfieri (A. A. Alfieri)",A4
3607732505928579,5042024,Artigo Publicado,Perfil de sensibilidade a antimicrobianos de bactérias patogênicas humanas isoladas de leite cru,2019.0,,,,REVISTA DO INSTITUTO DE LATICÍNIOS CÂNDIDO TOSTES,,,"SILVA, REGINARA TEIXEIRA DA (SILVA, REGINARA TEIXEIRA DA), Joyce Bitencourt Athayde Lopes (Lopes, Joyce Bitencourt Athayde), OLIVEIRA, KLEYDEJANY LIMA LEMOS DE (OLIVEIRA, KLEYDEJANY LIMA LEMOS DE), RIBEIRO JÚNIOR, JOSÉ CARLOS (RIBEIRO JÚNIOR, JOSÉ CARLOS), BELOTI, VANERLI (BELOTI, VANERLI)",B4
