numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
9782653543954493,30052024,Artigo Publicado,Flexural wave band gaps in a multi-resonator elastic metamaterial plate using Kirchhoff-Love theory,2019.0,,,,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, E.J.P.), NOBREGA, E.D. (NOBREGA, E.D.), FERREIRA, A.H.R. (FERREIRA, A.H.R.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",A1
9782653543954493,30052024,Artigo Publicado,Rubberized mortar: The influence of aggregate granulometry in mechanical resistances and acoustic behavior,2019.0,,,,CONSTRUCTION AND BUILDING MATERIALS,,,"ANGELIN, A.F. (ANGELIN, A.F.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, E.J.P.), SANTOS, J.M.C. DOS (SANTOS, J.M.C. DOS), LINTZ, R.C.C. (LINTZ, R.C.C.), GACHET-BARBOSA, L.A. (GACHET-BARBOSA, L.A.)",A2
9782653543954493,30052024,Artigo Publicado,Passive vibration control using a metaconcrete thin plate,2019.0,,,,CERÂMICA,,,"Edson Jansen Pedrosa de Miranda Júnior (Miranda Jr., E. J. P.), ANGELIN, A.F. (ANGELIN, A.F.), Fabiana Maria da Silva (SILVA, F. M.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",A1
9782653543954493,30052024,Artigo Publicado,The use of tire rubber in the production of high-performance concrete,2019.0,,,,CERÂMICA,,,"Fabiana Maria da Silva (SILVA, F. M.), Edson Jansen Pedrosa de Miranda Júnior (Miranda Jr., E. J. P.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.), GACHET-BARBOSA, L.A. (GACHET-BARBOSA, L.A.), A. E. Gomes (GOMES, A. E.), LINTZ, R.C.C. (LINTZ, R.C.C.)",A1
9782653543954493,30052024,Artigo Publicado,Band Structure in a Sustainable Sonic Crystal,2019.0,,,,MATERIALS SCIENCE FORUM (ONLINE),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN PEDROSA), RODRIGUES, S.F. (RODRIGUES, S.F.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",B1
9782653543954493,30052024,Artigo Publicado,Influence of Spheroid and Fiber-Like Waste-Tire Rubbers on the Sound Absorption Coefficient of Rubberized Mortars,2019.0,,,,MATERIALS SCIENCE FORUM (ONLINE),,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN PEDROSA), ANGELIN, ANDRESSA FERNANDA (ANGELIN, ANDRESSA FERNANDA), RODRIGUES, S.F. (RODRIGUES, S.F.), GACHET-BARBOSA, LUÍSA ANDRÉIA (GACHET-BARBOSA, LUÍSA ANDRÉIA), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",B1
9782653543954493,30052024,Artigo Publicado,Strain-Induced Ferrite Formation During Steckel Mill Simulations with Varying Roughing Pass Schedules,2019.0,,,,Metals,,,"PALHANO, HENRY B. (PALHANO, HENRY B.), ARANAS, CLODUALDO (ARANAS, CLODUALDO), RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.), SILVA, EDEN S. (SILVA, EDEN S.), REIS, GEDEON S. (REIS, GEDEON S.), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, EDSON JANSEN P.), SICILIANO, FULVIO (SICILIANO, FULVIO), JONAS, JOHN J. (JONAS, JOHN J.)",A2
9782653543954493,30052024,Artigo Publicado,Flexural wave band gaps in multi-resonator elastic metamaterial Timoshenko beams,2019.0,,,,WAVE MOTION,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, E.J.P.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",A3
9782653543954493,30052024,Artigo Publicado,Computing the complex wave and dynamic behavior of one-dimensional phononic systems using a state-space formulation,2019.0,,,,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,,,"ASSIS, GEORGE F.C.A. (ASSIS, GEORGE F.C.A.), BELI, DANILO (BELI, DANILO), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, EDSON J.P. DE), CAMINO, JUAN F. (CAMINO, JUAN F.), SANTOS, JOSÉ MARIA C. DOS (SANTOS, JOSÉ MARIA C. DOS), ARRUDA, JOSÉ ROBERTO F. (ARRUDA, JOSÉ ROBERTO F.)",A4
9782653543954493,30052024,Artigo Publicado,Delay in the static softening kinetics of a Nb-N-bearing austenitic stainless steel,2019.0,,,,Materials Research Express,,,"LEITÃO FILHO, SEBASTIÃO R J B (LEITÃO FILHO, SEBASTIÃO R J B), SILVA, EDEN SANTOS (SILVA, EDEN SANTOS), RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.), ARANAS JR., CLODUALDO (ARANAS JR., CLODUALDO), Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., EDSON JANSEN P), REIS, GEDEON SILVA (REIS, GEDEON SILVA), BALANCIN, OSCAR (BALANCIN, OSCAR)",A1
9782653543954493,30052024,Artigo Publicado,Modelling Propagating Bloch Waves in Magnetoelectroelastic Phononic Structures with Kagomé Lattice Using the Improved Plane Wave Expansion,2020.0,,,,Crystals,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA, EDSON JANSEN PEDROSA DE), RODRIGUES, SAMUEL FILGUEIRAS (RODRIGUES, SAMUEL FILGUEIRAS), ARANAS, CLODUALDO (ARANAS, CLODUALDO), SILVA, HÉLIO VITOR CANTANHÊDE DA (SILVA, HÉLIO VITOR CANTANHÊDE DA), SILVA, EDEN SANTOS (SILVA, EDEN SANTOS), REIS, GEDEON SILVA (REIS, GEDEON SILVA), PAIVA, ANTÔNIO ERNANDES MACEDO (PAIVA, ANTÔNIO ERNANDES MACEDO), dos Santos, José Maria Campos (dos Santos, José Maria Campos)",A3
9782653543954493,30052024,Artigo Publicado,"Wave attenuation in elastic metamaterial thick plates: Analytical, numerical and experimental investigations",2020.0,,,,INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,,,"Edson Jansen Pedrosa de Miranda Júnior (MIRANDA JR., E.J.P.), NOBREGA, E.D. (NOBREGA, E.D.), RODRIGUES, S.F. (RODRIGUES, S.F.), ARANAS JR., C. (ARANAS JR., C.), DOS SANTOS, J.M.C. (DOS SANTOS, J.M.C.)",B1
