numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
4623016052878309,9052024,Artigo Publicado,Empirical methods for reference evapotranspiration estimation,2020.0,,,,SCIENTIA AGRARIA PARANAENSIS,,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Wady Lima Castro Junior (CASTRO JUNIOR, W. L.), Leonardo Nazário Silva dos Santos (SANTOS, L. N. S.), Germana Gouveia Tavares (TAVARES, G. G.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.)",B1
4623016052878309,9052024,Artigo Publicado,Phenology associated with degree days for bean - cowpea cultivar BR-17 Gurguéia: A literature review,2019.0,,,,SCIENTIFIC ELECTRONIC ARCHIVES,,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Luiz Fernando Gomes (GOMES, L. F.), Maiany Gonçalves de Carvalho (CARVALHO, M. G.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Carmem Valdenia da Silva Santana (SANTANA, C. V. S.), Stella Mendes Pio de Oliveira (OLIVEIRA, S. M. P.), Gerlange Soares da Silva (SILVA, G. S.), Jhonata Cantuária Medeiros (MEDEIROS, J. C.), Germana Gouveia Tavares (TAVARES, G. G.), Jaqueline Aparecida Batista Soares (SOARES, J. A. B.)",A2
4623016052878309,9052024,Artigo Publicado,"Water social technologies: case study of the cistern project in a school in the municipality of Barbalha, Ceará",2019.0,,,,SCIENTIFIC ELECTRONIC ARCHIVES,,,"Aline Bezerra de Sousa (SOUSA, A. B.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Francisco Renê Fernandes Feitosa (FEITOSA, F. R. F.), Celme Tôrres Ferreira da Costa (COSTA, C. T. F.), Gerlange Soares da Silva (SILVA, G. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.)",A2
4623016052878309,9052024,Artigo Publicado,"Diagnóstico situacional sobre o uso de agrotóxicos por agricultores familiares do campo agrícola Fomento em Codó, Maranhão, Brasil",2019.0,,,,Revista Saúde e Meio Ambiente,,,"Sebastião Alves Craveiro (CRAVEIRO, S. A.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Francisca Inalda Oliveira Santos (SANTOS, F. I. O.), Luciana dos Santos Oliveira (OLIVEIRA, L. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.)",B4
4623016052878309,9052024,Artigo Publicado,Potencialidades farmacológicas da babosa: um estudo realizado por meio das técnicas de prospecção científica e tecnológica,2020.0,,,,CADERNOS DE PROSPECÇÃO,,,"Rayane Amorim Carvalho (CARVALHO, R. A.), Antonio Marcos da Conceição Lima (LIMA, A. M. C.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Sara Tamiris da Silva Costa (COSTA, S. T. S.), Terezinha Yasmin Azevedo Lopes (LOPES, T. Y. A.)",A2
4623016052878309,9052024,Artigo Publicado,Pharmacological potential of vinegar tree species: A study conducted by the scientific and technological prospecting techniques,2019.0,,,,CADERNOS DE PROSPECÇÃO,,,"katiury Castro Cavalcante (CAVALCANTE, K. C.), Gladson Diniz Pinheiro (PINHEIRO, G. D.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Layane Bastos dos Santos (SANTOS, L. B.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.)",A2
4623016052878309,9052024,Artigo Publicado,A cultura da cana-de-açúcar (Saccharum Officinarum) e o manejo da irrigação,2019.0,,,,RAMA - Revista em Agronegócio e Meio Ambiente,,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Gerlange Soares da Silva (SILVA, G. S.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Aline Bezerra de Sousa (SOUSA, A. B.), Wady Lima Castro Júnior (CASTRO JUNIOR, W. L.), Leonardo Nazário Silva dos Santos (SANTOS, L. N. S.)",B1
4623016052878309,9052024,Artigo Publicado,O ensino médio integrado no contexto dos institutos federais de educação: Um mapeamento sistemático,2019.0,,,,REVISTA LABOR,,,"Cristiani Hembecker Bonfim (BONFIM, C. H.), Luciana de Sousa Alves da Silva (SILVA, L. S. A.), Rita de Cássia Gomes da Silva (SILVA, R. C. G.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.)",B1
4623016052878309,9052024,Artigo Publicado,Tenho um aluno com transtorno de aprendizagem?' Queixas escolares e medicalização da educação: primeiras impressões de uma pesquisa de mestrado em andamento sobre a percepção de docentes da educação profissional e tecnológica,2019.0,,,,Revista Querubim (Online),,,"Layane Bastos dos Santos (SANTOS, L. B.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Lilian Maria de Oliveira Ferreira (FERREIRA, L. M. O.), Fauston Negreiros (NEGREIROS, F.)",B3
4623016052878309,9052024,Artigo Publicado,Gamifying the teaching of facial expressions for children with autistic spectrum disorder,2020.0,,,,REVISTA EDAPECI: EDUCAÇÃO A DISTÂNCIA E PRÁTICAS EDUCATIVAS COMUNICACIONAIS E INTERCULTURAIS,,,"Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Miguel de Sousa Freitas (FREITAS, M. S.), Dina Karla Placido Nascimento (NASCIMENTO, D. K. P.)",A1
4623016052878309,9052024,Artigo Publicado,Percepções e concepções dos docentes da rede federal de educação acerca da educação profissional e tecnológica: com a palavra os docentes do Curso Técnico Subsequente em Administração do Instituto Federal do Piauí - Campus Avançado Dirceu Arco Verde,2020.0,,,,REVISTA BRASILEIRA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA,,,"Layane Bastos dos Santos (SANTOS, L. B.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Lilian Maria de Oliveira Ferreira (FERREIRA, L. M. O.), Kalinka Maria Leal Madeira (MADEIRA, K. M. L.)",A3
4623016052878309,9052024,Artigo Publicado,Práticas pedagógicas dos professores de geografia: estratégias didáticas com ênfase na educação em solos,2020.0,,,,Revista Ensino de Geografia (Recife),,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Marlene Sousa Silva (SILVA, M. S.), Rosenilde Nogueira Paniago (PANIAGO, R. N.), Vanilda Maria Campos (CAMPOS, V. M.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Roselina Aguiar (AGUIAR, R.), Luciana Aguiar (AGUIAR, L.), Mateus Neri Oliveira Reis (REIS, M. N. O.)",A2
4623016052878309,9052024,Artigo Publicado,Ensino profissional e tecnológico e medicalização das queixas escolares: representações sociais docentes,2019.0,,,,Educando para educar,,,"Layane Bastos dos Santos (SANTOS, L. B.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Fauston Negreiros (NEGREIROS, F.)",B1
4623016052878309,9052024,Artigo Publicado,PRONATEC Campo - Possibilidades & Desafios: um estudo de caso a partir da prática do Psicólogo Educacional na Educação Profissional e Tecnológica,2020.0,,,,REVISTA BRASILEIRA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA,,,"Layane Bastos dos Santos (SANTOS, L. B.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Fauston Negreiros (NEGREIROS, F.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Kalinka Maria Leal Madeira (MADEIRA, K. M. L.)",A3
4623016052878309,9052024,Artigo Publicado,Técnicas de dendrometria no manejo da irrigação: uma revisão integrativa,2020.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Gerlange Soares da Silva (SILVA, G. S.), Leonardo Nazário Silva dos Santos (SANTOS, L. N. S.), Wady Lima Castro Júnior (CASTRO JUNIOR, W. L.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Marconi Batista Teixeira (TEIXEIRA, M. B.), Luiz Fernando Gomes (GOMES, L. F.), Mateus Neri Oliveira Reis (REIS, M. N. O.), Jaqueline Aparecida Batista Soares (SOARES, J. A. B.)",B4
4623016052878309,9052024,Artigo Publicado,"Educação, Mídias Sociais &amp; Comunicação Organizacional nos Institutos Federais: Um Mapeamento Sistemático",2020.0,,,,REVISTA FSA (FACULDADE SANTO AGOSTINHO),,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Francisco Adelton Alves Ribeiro (RIBEIRO, F. A. A.), Layane Bastos dos Santos (SANTOS, L. B.), Maycon Rangel Abreu Pereira (PEREIRA, M. R. A.)",A2
4623016052878309,9052024,Artigo Publicado,Desempenho agronômico de cultivares de rabanete submetidas a diferentes espaçamentos,2020.0,,,,Revista De Ciencias Agricolas,,,"Jorgeana Francis Alvim (ALVIM, J. F.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Erika de Kássia Pereira Cantanhede (CANTANHEDE, E. K. P.), Valdelânia Gomes da Silva (SILVA, V. G.), Leonardo Nazário Silva dos Santos (SANTOS, L. N. S.)",A1
4623016052878309,9052024,Artigo Publicado,Aspectos metodológicos e filosóficos na prática do docente em EPT: refletindo sobre a disciplina de Química em Educação Profissional,2020.0,,,,Revista Querubim (Online),,,"Layane Bastos dos Santos (SANTOS, L. B.), Danilo Costa dos Santos (SANTOS, D. C.), Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Davila Esmelinda Oliveira Silva (SILVA, D. E. O.), Oswaldo Palma Lopes Sobrinho (LOPES SOBRINHO, O. P.)",B3
