numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
1382902340594370,10042023,Artigo Publicado,Nutritional evaluation of corn grown using different organic fertilizers for slow-growing broilers,2019.0,,,,SEMINA. CIÊNCIAS AGRÁRIAS (ONLINE),,,"CAMPOS, CARLA FONSECA ALVES (CAMPOS, CARLA FONSECA ALVES), ARAÚJO, CAROLINY COSTA (ARAÚJO, CAROLINY COSTA), SIQUEIRA, JEFFERSON COSTA DE (SIQUEIRA, JEFFERSON COSTA DE), RODRIGUES, KÊNIA FERREIRA (RODRIGUES, KÊNIA FERREIRA), VAZ, ROBERTA GOMES MARÇAL VIEIRA (VAZ, ROBERTA GOMES MARÇAL VIEIRA), MELLO, SUSANA QUEIROZ SANTOS (MELLO, SUSANA QUEIROZ SANTOS), SILVA, GERSON FAUSTO DA (SILVA, GERSON FAUSTO DA), VIEIRA, DANILO VARGAS GONÇALVES (VIEIRA, DANILO VARGAS GONÇALVES), Iberê Pereira Parente (PARENTE, IBERÊ PEREIRA), SILVA, VALQUÍRIA SOUSA (SILVA, VALQUÍRIA SOUSA)",B2
1382902340594370,10042023,Artigo Publicado,Purified glycerin in balanced diets for chicken broilers from 8 to 21 days old,2019.0,,,,Bioscience Journal,,,"SILVA, MÔNICA CALIXTO DA (SILVA, MÔNICA CALIXTO DA), RIBEIRO, MAYARA DA CRUZ (RIBEIRO, MAYARA DA CRUZ), SILVA, JEFFERSON RODRIGUES DA (SILVA, JEFFERSON RODRIGUES DA), VAZ, ROBERTA GOMES MARÇAL VIEIRA (VAZ, ROBERTA GOMES MARÇAL VIEIRA), RODRIGUES, KÊNIA FERREIRA (RODRIGUES, KÊNIA FERREIRA), SOUSA, LUCIANO FERNANADES (SOUSA, LUCIANO FERNANADES), STRINGHINI, JOSÉ HENRIQUE (STRINGHINI, JOSÉ HENRIQUE), FONSECA, FLÁVIA LUZIA RODRIGUES (FONSECA, FLÁVIA LUZIA RODRIGUES), Iberê Pereira Parente (PARENTE, IBERÊ PEREIRA), ALVES CAMPOS, CARLA FONSECA (ALVES CAMPOS, CARLA FONSECA), BEZERRA, LATÓYA DE SOUSA (BEZERRA, LATÓYA DE SOUSA)",B3
1382902340594370,10042023,Artigo Publicado,Importância da Cor nos Alimentos e Utilização dos Produtos do Urucum (Bixa orellana l.) na Avicultura,2019.0,,,,Revista Brasileira de Assuntos Interdisciplinares - REBAI,,,"Iberê Pereira Parente (PARENTE, I. P.), Kenia Ferreira Rodrigues (RODRIGUES, K.F.), Carla Fonseca Alves Campos (CAMPOS, C. F. A.), Flavia Luzia Rodrigues Fonseca (FONSECA, F. L. R.), Mônica Calixto da Silva (SILVA, M. C.), Adeval Alexandre Cavalcante Neto (CAVALCANTE NETO, A. A.), Daniel Fernandes Rodrigues Barroso (BARROSO, D. F. R.), Valéria Melo Costa (COSTA, V. M.)",A4
1382902340594370,10042023,Artigo Publicado,Levantamento florístico e fitossociológico de praças públicas do município de Dom Pedro/MA,2020.0,,,,Revista Ibero-americana de Ciências Ambientais,,,"SOUZA, TALYTHA RAVENNA DE MELO (SOUZA, TALYTHA RAVENNA DE MELO), COSTA, VALÉRIA MELO (COSTA, VALÉRIA MELO), BARROSO, DANIEL FERNANDES RODRIGUES (BARROSO, DANIEL FERNANDES RODRIGUES), CAVALCANTE NETO, ADEVAL ALEXANDRE (CAVALCANTE NETO, ADEVAL ALEXANDRE), SANTOS, GABRIEL CLAUDINO SALES DOS (SANTOS, GABRIEL CLAUDINO SALES DOS), Iberê Pereira Parente (PARENTE, IBERÊ PEREIRA), GONDIM, TERESA CRISTINA FERREIRA DA SILVA (GONDIM, TERESA CRISTINA FERREIRA DA SILVA)",B3
1382902340594370,10042023,Artigo Publicado,Agrotóxicos e meio ambiente: práticas de comercialização e indicação de uso no município de Presidente Dutra ? MA.,2020.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Adeval Alexandre Cavalcante Neto (CAVALCANTE NETO, A. A.), Iberê Pereira Parente (PARENTE, I. P.), Daniel Fernandes Rodrigues Barroso (BARROSO, D. F. R.), Valéria Melo Costa (COSTA, V. M.), Talytha Ravenna de Melo Souza (SOUZA, T. R. M.)",B1
1382902340594370,10042023,Artigo Publicado,Effects of feeding cassava bagasse to slow-growing broilers,2021.0,,,,Revista Brazilian Journal of Development,,,"Isabela Maria Machadode Oliveira Moufarreg (MOUFARREG, I. M. M. O.), Jefferson Costa de Siqueira (SIQUEIRA, J. C.), Kênia Ferreira Rodrigues (RODRIGUES, K. F.), Roberta Gomes Marçal Vieira Vaz (VAZ, R. G. M. V.), Sandro Estevan Moron (MORON, S. E.), Iberê Pereira Parente (PARENTE, I. P.), Raiana Almeida Noleto Mendonça (MENDONCA, R. A. N.), Carla Fonseca Alves Campos (CAMPOS, C. F. A.), Caroliny Costa Araújo (ARAUJO, C. C.)",A3
1382902340594370,10042023,Artigo Publicado,Inventário da arborização de praças centrais do município de Presidente Dutra (MA),2022.0,,,,NATURE AND CONSERVATION,,,"XAVIER, ANNA CAROLINA MARQUES DA SILVA (XAVIER, ANNA CAROLINA MARQUES DA SILVA), CAVALCANTE NETO, ADEVAL ALEXANDRE (CAVALCANTE NETO, ADEVAL ALEXANDRE), GONDIM, TERESA CRISTINA FERREIRA DA SILVA (GONDIM, TERESA CRISTINA FERREIRA DA SILVA), Iberê Pereira Parente (PARENTE, IBERÊ PEREIRA), BARROSO, DANIEL FERNANDES RODRIGUES (BARROSO, DANIEL FERNANDES RODRIGUES), SILVEIRA, THIAGO COELHO (SILVEIRA, THIAGO COELHO), MAIA, ROBERTO CARLOS MACHADO (MAIA, ROBERTO CARLOS MACHADO)",A4
1382902340594370,10042023,Artigo Publicado,Biometria dos órgãos linfoides e composição físico- química da carne de frangos de crescimento lento alimentados com bagaço de mandioca e complexo enzimático / Biometry of lymphoid organs and physical-chemical composition of meat of slow growth chickens fed with cassava bagasse and enzymatic complexes,2021.0,,,,Brazilian Journal of Development,,,"CAMPOS, CARLA FONSECA ALVES (CAMPOS, CARLA FONSECA ALVES), BARBOSA, ALEANE FRANCISCA CORDEIRO (BARBOSA, ALEANE FRANCISCA CORDEIRO), ARAÚJO, CAROLINY COSTA (ARAÚJO, CAROLINY COSTA), SILVA, VALQUIRIA SOUSA (SILVA, VALQUIRIA SOUSA), DA SILVA, LAUDINETE FERREIRA (DA SILVA, LAUDINETE FERREIRA), RODRIGUES, KÊNIA FERREIRA (RODRIGUES, KÊNIA FERREIRA), VAZ, ROBERTA GOMES MARÇAL VIEIRA (VAZ, ROBERTA GOMES MARÇAL VIEIRA), VIEIRA, DANILO VARGAS GONÇALVES (VIEIRA, DANILO VARGAS GONÇALVES), GIANNESI, GIOVANA CRISTINA (GIANNESI, GIOVANA CRISTINA), ZANOELO, FABIANA FONSECA (ZANOELO, FABIANA FONSECA), MASUI, DOUGLAS CHODI (MASUI, DOUGLAS CHODI), AMORIM, ALINE FERREIRA (AMORIM, ALINE FERREIRA), Iberê Pereira Parente (PARENTE, IBERÊ PEREIRA)",B4
6073613187017662,3072023,Artigo Publicado,"A FAUNA DE PEIXES DO RIO TOCANTINS, BACIA ARAGUAIA-TOCANTINS: COMPOSIÇÃO, CONSERVAÇÃO E DIVERSIDADE",2021.0,,,,Revista Acta Tecnológica,,,"Leonardo Oliveira da Silva Coelho (SILVA COELHO, LEONARDO OLIVEIRA DA), ALVES, FILIPE DOS SANTOS (ALVES, FILIPE DOS SANTOS), LIMA, THAMIRES BARROSO (LIMA, THAMIRES BARROSO), Louize Nascimento (NASCIMENTO, Louize), FERNANDES, ROGÉRIO TAYGRA VASCONCELOS (FERNANDES, ROGÉRIO TAYGRA VASCONCELOS), OLIVEIRA, JÔNNATA FERNANDES DE (OLIVEIRA, JÔNNATA FERNANDES DE)",B3
6073613187017662,3072023,Artigo Publicado,"Impactos socioambientais decorrentes da implantação da UHE Estreito no município de Carolina, Maranhão",2021.0,,,,Revista Acta Tecnológica,,,"Leonardo Oliveira da Silva Coelho (SILVA COELHO, LEONARDO OLIVEIRA DA), GONÇALVES, RAIMUNDA LIMA (GONÇALVES, RAIMUNDA LIMA), Louize Nascimento (NASCIMENTO, Louize), FERNANDES, ROGÉRIO TAYGRA VASCONCELOS (FERNANDES, ROGÉRIO TAYGRA VASCONCELOS), OLIVEIRA, JÔNNATA FERNANDES DE (OLIVEIRA, JÔNNATA FERNANDES DE)",B3
