numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
4127510935840786,12032024,Artigo Publicado,Surfactant biodegradation in batch reactors with aspergillus niger AN400,2019.0,,,,INTERNATIONAL JOURNAL OF ENVIRONMENT AND WASTE MANAGEMENT (PRINT),,,"RODRIGUES, KELLY (RODRIGUES, KELLY), SILVEIRA, RENATA BRASIL (SILVEIRA, RENATA BRASIL), PEREIRA, LUCIANA (PEREIRA, LUCIANA), Barbara Chaves Aguiar Barbosa (BARBOSA, BÁRBARA), MARINHO, GLÓRIA (MARINHO, GLÓRIA), CAVALCANTE, F. REINALDO (CAVALCANTE, F. REINALDO)",A3
4127510935840786,12032024,Artigo Publicado,Biodegradação de água residuária têxtil in natura por fungo em reator de leito fixo fluxo continuo,2019.0,,,,REVISTA DAE,,,"APOLINARIO, MÁRCIA GABRIELLE (APOLINARIO, MÁRCIA GABRIELLE), Barbara Chaves Aguiar Barbosa (CHAVES, BARBARA BARBOSA AGUIAR), PESSOA, KELLY DE ARAÚJO RODRIGUES (PESSOA, KELLY DE ARAÚJO RODRIGUES), SILVA, GERMANA MARIA MARINHO (SILVA, GERMANA MARIA MARINHO), SILVA, GLORIA MARIA MARINHO (SILVA, GLORIA MARIA MARINHO)",C
4127510935840786,12032024,Artigo Publicado,"Degradation of 2,4-dinitrophenol by Aspergillus niger AN 400 in batch reactors with immobilized biomass",2021.0,,,,REVISTA BRASILEIRA DE GESTÃO AMBIENTAL E SUSTENTABILIDADE,,,"Renata Barros Silveira Brasil (Brasil, R; B. S.), Barbara Chaves Aguiar Barbosa (BARBOSA, B. C. A.), Kelly de Araujo Rodrigues Pessoa (RODRIGUES, K. A.), GLORIA MARINHO (MARINHO, G.)",B1
4127510935840786,12032024,Artigo Publicado,Influence of sucrosis on the degradation of pesticide by white rot fungus,2021.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"BERMÚDEZ, VICTÓRIA MAURA SILVA (BERMÚDEZ, VICTÓRIA MAURA SILVA), FARIAS, LETICIA BEZERRA (FARIAS, LETICIA BEZERRA), LIMA, LIA TELES (LIMA, LIA TELES), Barbara Chaves Aguiar Barbosa (BARBOSA, BARBARA CHAVES AGUIAR), PESSOA, KELLY DE ARAUJO RODRIGUES (PESSOA, KELLY DE ARAUJO RODRIGUES), SILVA, GLORIA MARIA MARINHO (SILVA, GLORIA MARIA MARINHO)",B4
4127510935840786,12032024,Artigo Publicado,INFLUÊNCIA DA FONTE PRIMÁRIA DE CARBONO E DE MACRONUTRIENTES NA REMOÇÃO DE ÍNDIGO CARMIM POR Aspergillus Niger EM REATOR DE ESCOAMENTO CONTÍNUO,2022.0,,,,REVISTA AIDIS DE INGENIERÍA Y CIENCIAS AMBIENTALES,,,"Carolina de Oliveira Marinho (MARINHO, C. O.), Barbara Chaves Aguiar Barbosa (BARBOSA, B.C.A.), Carlos Ronald Pessoa Wanderley (WANDERLEY, C. R. P.), GLORIA MARINHO (MARINHO, G.), Kelly de Araujo Rodrigues Pessoa (RODRIGUES, K. A.)",B2
4127510935840786,12032024,Artigo Publicado,AVALIAÇÃO DA DESTINAÇÃO FINAL DOS RESÍDUOS DE SERVIÇO DE SAÚDE EM UM MUNICÍPIO NO NORTE DO ESTADO DO MARANHÃO,2022.0,,,,HOLOS (NATAL. ONLINE),,,"Barbara Chaves Aguiar Barbosa (BARBOSA, B.C.A.), Alicia Ferques Viana (VIANA, A. F.), Daniel Fernandes Rodrigues Barroso (BARROSO, D. F. R.), Glória Maria Marinho Silva (SILVA, G. M. M.)",B3
4127510935840786,12032024,Artigo Publicado,PRODUCTION OF GLYCOHYDROLASES FROM RESIDUES FROM THE FLOUR INDUSTRY BY Aspergillus niger,2023.0,,,,REVISTA AIDIS DE INGENIERÍA Y CIENCIAS AMBIENTALES,,,"RENATA BARROS SILVEIRA (SILVEIRA, R. B.), GLORIA MARINHO (MARINHO, G.), KELLY DE ARAÚJO RODRIGUES (RODRIGUES, K. A.), Barbara Chaves Aguiar Barbosa (BARBOSA, B.C.A.), Ida C. PimenteL (PIMENTEL, I. C.), Débora de Oliveira (OLIVEIRA, D.), José Vladimir de Oliveira (OLIVEIRA, J. V.), Diogo Robl (ROBL, D.)",B2
4127510935840786,12032024,Artigo Publicado,Avaliação ambiental do processo de desativação do lixão no município de Itapecuru-Mirim,2023.0,,,,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),,,"AROUCHE, DANNYELLE GUIMARÃES (AROUCHE, DANNYELLE GUIMARÃES), AROUCHE, TAYLINNE GUIMARÃES (AROUCHE, TAYLINNE GUIMARÃES), DE MESQUITA, JOSÉ WILSON CARVALHO (DE MESQUITA, JOSÉ WILSON CARVALHO), Barbara Chaves Aguiar Barbosa (BARBOSA, BÁRBARA CHAVES AGUIAR)",A3
1096770650777976,7052024,Artigo Publicado,Compartilhando saberes e experiências: comercialização de produtos agroecológicos em feira livre da agricultura familiar de Aldeias Altas-MA,2020.0,,,,EDUCAÇÃO AMBIENTAL EM AÇÃO,,,"Talytha Ravenna de Melo Souza (SOUZA, T. R. M.), Lorenna Kamila de Melo Souza (SOUZA, L. K. M.), Valéria Melo Costa (COSTA, V. M.), Adeval Alexandre Cavalcante Neto (CAVALCANTE NETO, A. A.), Thiago Coelho Silveira (SILVEIRA, Thiago Coelho.), Daniel Fernandes Rodrigues Barroso (BARROSO, D. F. R.)",B1
1096770650777976,7052024,Artigo Publicado,Levantamento florístico e fitossociológico de praças públicas do município de Dom Pedro/MA,2020.0,,,,Revista Ibero-americana de Ciências Ambientais,,,"PARENTE, IBERÊ PEREIRA (PARENTE, IBERÊ PEREIRA), GONDIM, TERESA CRISTINA FERREIRA DA SILVA (GONDIM, TERESA CRISTINA FERREIRA DA SILVA), COSTA, VALÉRIA MELO (COSTA, VALÉRIA MELO), CAVALCANTE NETO, ADEVAL ALEXANDRE (CAVALCANTE NETO, ADEVAL ALEXANDRE), SOUZA, TALYTHA RAVENNA DE MELO (SOUZA, TALYTHA RAVENNA DE MELO), Daniel Fernandes Rodrigues Barroso (BARROSO, DANIEL FERNANDES RODRIGUES), SANTOS, GABRIEL CLAUDINO SALES DOS (SANTOS, GABRIEL CLAUDINO SALES DOS)",B3
