numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
1770068905157044,30052024,Artigo Publicado,Influence of the milling conditions on the thermal decomposition of Bayer gibbsite,2020.0,,,,POWDER TECHNOLOGY,,,"RIVAS-MERCURY, J.M. (RIVAS-MERCURY, J.M.), SUCUPIRA, J.R.M. (SUCUPIRA, J.R.M.), RODRÍGUEZ, M.A. (RODRÍGUEZ, M.A.), Aluísio Alves Cabral Júnior (Cabral, A.A.), DE AZA, A.H. (DE AZA, A.H.), PENA, P. (PENA, P.)",B3
1770068905157044,30052024,Artigo Publicado,"Structure, Glass Stability and Crystallization Activation Energy of SrO-CaO-B2O3-SiO2 glasses doped with TiO2",2021.0,,,,JOURNAL OF NON-CRYSTALLINE SOLIDS,,,"ALENCAR, MARIA V.S. (ALENCAR, MARIA V.S.), BEZERRA, GLAUCO V.P. (BEZERRA, GLAUCO V.P.), SILVA, LAÍS D. (SILVA, LAÍS D.), SCHNEIDER, JOSÉ F. (SCHNEIDER, JOSÉ F.), PASCUAL, M. JESUS (PASCUAL, M. JESUS), Aluísio Alves Cabral Júnior (Cabral, Aluísio A.)",C
1770068905157044,30052024,Artigo Publicado,Model-free and model-fitting analysis applied to the non-isothermal crystallization kinetics of a SrO-CaO-B2O3-TiO2-SiO2 glass sealant for SOFCs,2021.0,,,,JOURNAL OF NON-CRYSTALLINE SOLIDS,,,"BEZERRA, GLAUCO V.P. (BEZERRA, GLAUCO V.P.), Aluísio Alves Cabral Júnior (Cabral, Aluísio A.)",C
1770068905157044,30052024,Artigo Publicado,New Clayey Deposit and Their Potential as Raw Material for Red or Structured Ceramics: Technological Characterization,2021.0,,,,Materials,,,"ASSUNÇÃO, ANA ROSA S. (ASSUNÇÃO, ANA ROSA S.), RIVAS-MERCURY, JOSÉ MANUEL (RIVAS-MERCURY, JOSÉ MANUEL), CORREIA, GRICIRENE SOUSA (CORREIA, GRICIRENE SOUSA), VASCONCELOS, NAZARÉ DO SOCORRO L. S. (VASCONCELOS, NAZARÉ DO SOCORRO L. S.), Aluísio Alves Cabral Júnior (Cabral, Aluísio Alves), ANGÉLICA, RÔMULO SIMÕES (ANGÉLICA, RÔMULO SIMÕES), DA COSTA, FABIANA PEREIRA (DA COSTA, FABIANA PEREIRA), MENEZES, ROMUALDO RODRIGUES (MENEZES, ROMUALDO RODRIGUES), DE ARAÚJO NEVES, GELMIRES (DE ARAÚJO NEVES, GELMIRES), RODRIGUES, ALISSON MENDES (RODRIGUES, ALISSON MENDES)",A1
1770068905157044,30052024,Artigo Publicado,Discoveries about the structure of alkaline earth-bearing borosilicate glasses doped with TiO2 revealed by Raman spectroscopy,2022.0,,,,JOURNAL OF NON-CRYSTALLINE SOLIDS,,,"ARTUR GOES SANTOS (SANTOS, A. G.), BENJAMIM J.A. MOULTON (MOULTON, B. J.), Aluísio Alves Cabral Júnior (Cabral, Aluisio A.)",C
1770068905157044,30052024,Artigo Publicado,Oxidação com Persulfato de Amônio da Biomassa Lignocelulósica e da Biomassa de açaí para a Extração da Nanocristais de Celulose: Estado da arte,2022.0,,,,REVISTA ION,,,"ANA PAULA COELHO DA COSTA (COSTA, A. P. C.), Lamia Zuniga Linan (LINAN, L. Z.), Anne Carolyne Mendonça Cidreira (CIDREIRA, A. C. M.), TAHMASB HATAMI (HATAMI, T.), Aluísio Alves Cabral Júnior (Cabral, A.A.), RAYAN CUTRIM GOMES (GOMES, R. C.), JACIENE JESUS CARDOSO ROCHA (ROCHA, J. J. C.)",A3
1770068905157044,30052024,Artigo Publicado,Anomalous Avrami index recorded during the non-isothermal crystallization of borotitanosilicate glass powders,2023.0,,,,JOURNAL OF NON-CRYSTALLINE SOLIDS,,,"BEZERRA, GLAUCO V.P. (BEZERRA, GLAUCO V.P.), ALENCAR, MARIA V.S. (ALENCAR, MARIA V.S.), CROVACE, MURILO C. (CROVACE, MURILO C.), Rodrigues, Alisson M. (Rodrigues, Alisson M.), Aluísio Alves Cabral Júnior (Cabral, Aluísio A.)",C
1770068905157044,30052024,Artigo Publicado,Effect of the substitution of MgO with CaO on the structural and thermal properties of CaO-SrO-B2O3-SiO2 glass and glass-ceramics containing excess TiO2,2023.0,,,,CERAMICS INTERNATIONAL,,,"RODRIGUES, KAMYLA C. (RODRIGUES, KAMYLA C.), SERBENA, FRANCISCO C. (SERBENA, FRANCISCO C.), SCHNEIDER, JOSÉ F. (SCHNEIDER, JOSÉ F.), PASCUAL, MARIA J. (PASCUAL, MARIA J.), Aluísio Alves Cabral Júnior (Cabral, Aluísio A.)",B1
1770068905157044,30052024,Artigo Publicado,KLaF4:Nd3+doped transparent glass-ceramics processed by spark plasma sintering,2021.0,,,,JOURNAL OF NON-CRYSTALLINE SOLIDS,,,"BABU, S. (BABU, S.), BALDA, R. (BALDA, R.), FERNÁNDEZ, J. (FERNÁNDEZ, J.), SEDANO, M. (SEDANO, M.), GORNI, G. (GORNI, G.), Aluísio Alves Cabral Júnior (Cabral, A.A.), GALUSEK, D. (GALUSEK, D.), DURÁN, A. (DURÁN, A.), PASCUAL, M.J. (PASCUAL, M.J.)",C
1770068905157044,30052024,Artigo Publicado,Effect of the milling conditions on the decomposition kinetics of gibbsite,2023.0,,,,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,,,"Aluísio Alves Cabral Júnior (Cabral, A.A.), Mercury, J.M.R. (Mercury, J.M.R.), SUCUPIRA, J.R.M. (SUCUPIRA, J.R.M.), RODRÍGUEZ, M.A. (RODRÍGUEZ, M.A.), ANTONIO H. DE AZA (AZA, A. H.), ELENA MOUKHINA (MOUKHINA, E.)",A3
1770068905157044,30052024,Artigo Publicado,Synthesis of delafossite CuCrO2 via solution combustion method and its acid functionalization for biodiesel production,2023.0,,,,CERÂMICA,,,"M.C. VIEGAS (VIEGAS, M.), GILVAN PEREIRA DE FIGUEREDO (FIGUEREDO, G. P.), SAMUEL FILGUEIRAS RODRIGUES (RODRIGUES, S. F.), Aluísio Alves Cabral Júnior (Cabral, A.A.), MARIO A. M. CASTRO (CASTRO, M. A. M.), Marcelo Moizinho Oliveira (OLIVEIRA, M. M.)",A1
