numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
9483358630883251,12062024,Artigo Publicado,Characterization of Biochar Samples of Banana Peels and Orange Bagasse Carbonized at 400 and 600°C,2020.0,,,,REVISTA VIRTUAL DE QUÍMICA,,,"Amanda Alves Feitosa (ALVES FEITOSA, AMANDA), GERALDES TEIXEIRA, WENCESLAU (GERALDES TEIXEIRA, WENCESLAU), RITTER, ELISABETH (RITTER, ELISABETH), ABREU DE RESENDE, FABIANA (ABREU DE RESENDE, FABIANA), KERN, JÜRGEN (KERN, JÜRGEN)",B1
9052272123505816,9102023,Artigo Publicado,"Cidades pequenas, pessoalidade e família na perspectiva do armário Gay",2021.0,,,,"REVISTA HOMEM, ESPAÇO E TEMPO",,,"Bruna Silva Araújo (ARAUJO, Bruna S.), Fernanda Maria Vieira Ribeiro (RIBEIRO, Fernanda M. Vieira)",B1
9052272123505816,9102023,Artigo Publicado,"Pleasure and protagonism: An interview with Maria de Jesus Almeida Costa, a Black sex worker activist from Brazil?s Northeast region",2022.0,,,,Global Public Health,,,"Fernanda Maria Vieira Ribeiro (RIBEIRO, FERNANDA MARIA VIEIRA)",A3
6405349933845573,5062024,Artigo Publicado,Magnetic field induced vortices in graphene quantum dots,2020.0,,,,JOURNAL OF PHYSICS-CONDENSED MATTER,,,"Icaro Rodrigues Lavor (LAVOR, I R), DA COSTA, D R (DA COSTA, D R), CHAVES, A (CHAVES, A), FARIAS, G A (FARIAS, G A), Rair Macêdo (MACÊDO, R), PEETERS, F M (PEETERS, F M)",A1
6405349933845573,5062024,Artigo Publicado,Probing the structure and composition of van der Waals heterostructures using the nonlocality of Dirac plasmons in the terahertz regime,2021.0,,,,2D Materials,,,"Icaro Rodrigues Lavor (LAVOR, I R), CAVALCANTE, L S R (CAVALCANTE, L S R), CHAVES, ANDREY (CHAVES, ANDREY), PEETERS, F M (PEETERS, F M), VAN DUPPEN, B (VAN DUPPEN, B)",B3
6405349933845573,5062024,Artigo Publicado,of Moiré Excitons in Twisted Heterobilayers,2021.0,,,,PHYSICAL REVIEW LETTERS,,,"Icaro Rodrigues Lavor (LAVOR, I.'R.), DA COSTA, D.'R. (DA COSTA, D.'R.), COVACI, L. (COVACI, L.), MILO?EVI', M.'V. (MILO?EVI', M.'V.), PEETERS, F.'M. (PEETERS, F.'M.), Andrey Chaves (CHAVES, A.)",B1
6405349933845573,5062024,Artigo Publicado,Tunable coupling of terahertz Dirac plasmons and phonons in transition metal dichalcogenide-based van der Waals heterostructures,2021.0,,,,2D Materials,,,"Icaro Rodrigues Lavor (RODRIGUES LAVOR, ICARO), CHAVES, ANDREY (CHAVES, ANDREY), PEETERS, FRANCOIS M (PEETERS, FRANCOIS M), VAN DUPPEN, BEN (VAN DUPPEN, BEN)",B3
6405349933845573,5062024,Artigo Publicado,Ribonucleic acid genome mutations induced by the Casimir effect,2023.0,,,,BIOSYSTEMS,,,"NOGUEIRA, B.P. (NOGUEIRA, B.P.), Icaro Rodrigues Lavor (LAVOR, I.R.), MUNIZ, C.R. (MUNIZ, C.R.)",A4
6405349933845573,5062024,Artigo Publicado,APLICAÇÃO DE SALA DE AULA INVERTIDA E DE TECNOLOGIAS DIGITAIS NA EDUCAÇÃO PROFISSIONAL,2023.0,,,,BOCA - Boletim de Conjuntura,,,"Thamires Barroso Lima (LIMA, T. B.), Celso Maciel de Meira (MEIRA, C. M.), Ronaldo Silva Junior (SILVA JUNIOR, R.), Icaro Rodrigues Lavor (LAVOR, I. R.)",A4
6405349933845573,5062024,Artigo Publicado,Ultrastrong plasmon-phonon coupling in double-layer graphene intercalated with a transition-metal dichalcogenide,2023.0,,,,PHYSICAL REVIEW MATERIALS,,,"TAO, Z. H. (TAO, Z. H.), Eduardo Bedê Barros (BARROS, E. B.), NOGUEIRA, J. P. DA C. (NOGUEIRA, J. P. DA C.), Francois Maria Leopold Peeters (PEETERS, F. M.), Andrey Chaves (CHAVES, A.), MILO?EVI', M. V. (MILO?EVI', M. V.), Icaro Rodrigues Lavor (LAVOR, I. R.)",A3
6405349933845573,5062024,Artigo Publicado,Effect of zitterbewegung on the propagation of wave packets in ABC-stacked multilayer graphene: an analytical and computational approach,2020.0,,,,JOURNAL OF PHYSICS-CONDENSED MATTER,,,"Icaro Rodrigues Lavor (RODRIGUES LAVOR, ICARO), RABELO DA COSTA, DIEGO (RABELO DA COSTA, DIEGO), CHAVES, ANDREY (CHAVES, ANDREY), HELENA ROBERTO DE SENA, SILVIA (HELENA ROBERTO DE SENA, SILVIA), FARIAS, GIL DE AQUINO (FARIAS, GIL DE AQUINO), VAN DUPPEN, BEN (VAN DUPPEN, BEN), PEETERS, FRANCOIS M (PEETERS, FRANCOIS M)",A1
3908865255611449,14032024,Artigo Publicado,BATIZAR PARA (R)EXISTIR,2020.0,,,,Impressões Rebeldes,,,"Joelma Santos da Silva (SILVA, Joelma S. da)",A3
6774081641438230,2042024,Artigo Publicado,O uso das novas tecnologias na perspectiva das escolas do campo,2022.0,,,,Ensino em Perspectivas,,,"Luana Martins de Araújo (ARAUJO, L. M.), Karlana Bianca Matos Sousa (SOUSA, Karlana Bianca Matos)",B3
