numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
1030435053294003,13032024,Artigo Publicado,ALGUMAS INFLUÊNCIAS TEÓRICAS DETERMINANTES DO CONCEITO DE DESENVOLVIMENTO EM JOSUÉ DE CASTRO: UM PRELÚDIO,2020.0,,,,Revista Tamoios,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, JOSÉ ARNALDO DOS SANTOS)",A1
1030435053294003,13032024,Artigo Publicado,"GRANDE ESPACIALIZAÇÃO, YVES LACOSTE E O PRÓLOGO DE UMA GEOGRAFIA DO DESENVOLVIMENTO",2022.0,,,,Revista Percurso (Online),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)",A3
1030435053294003,13032024,Artigo Publicado,YVES LACOSTE EM ARGEL: AFINIDADES ELETIVAS E A DESCOBERTA DA OBRA DE IBN KHALDUN,2023.0,,,,GEOGRAFIA EM QUESTÃO (ONLINE),,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)",A1
1030435053294003,13032024,Artigo Publicado,YVES LACOSTE E A QUESTÃO DO MÉTODO: INSPIRAÇÃO TRICARTIANA E POSIÇÃO CRÍTICA FACE À ABORDAGEM DA ESCOLA FRANCESA DE GEOGRAFIA,2023.0,,,,https://doi.org/10.28998/contegeo.8i.17.16517,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)",B1
7113764946578925,6112023,Artigo Publicado,Brand orientation of nonprofit organizations and its relationship with the attitude toward charity and donation intention,2020.0,,,,International Review on Public and Nonprofit Marketing,,,"DA SILVA, LEONILDE CONCEIÇÃO (DA SILVA, LEONILDE CONCEIÇÃO), MAINARDES, EMERSON WAGNER (MAINARDES, EMERSON WAGNER), TEIXEIRA, ARILDA MAGNA CAMPAGNARO (TEIXEIRA, ARILDA MAGNA CAMPAGNARO), Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG)",A4
7113764946578925,6112023,Artigo Publicado,HOMENS E MULHERES: DESVANTAGENS EM DECISÕES DE EMPREGO A CARGOS ADMINISTRATIVOS,2020.0,,,,REAT - REVISTA ELETRÔNICA DE ADMINISTRAÇÃO E TURISMO,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)",A1
7113764946578925,6112023,Artigo Publicado,Personalidade da Marca de Destinos e sua Relação com o Critério de Escolha dos Turistas Brasileiros,2020.0,,,,REVISTA TURISMO EM ANÁLISE,,,"Leonilde da Conceição Silva (SILVA, L. C.), Lindemberg Costa Júnior (COSTA JÚNIOR, L.)",A1
7113764946578925,6112023,Artigo Publicado,ATRIBUTOS DE QUALIDADE NAS INSTITUIÇÕES PÚBLICAS DE ENSINO: Na visão dos discentes/egressos de escolas Federal e Estadual,2020.0,,,,ADMINISTRAÇÃO DE EMPRESAS EM REVISTA,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Sueila Silva Viana (VIANA, S. S.)",A4
7113764946578925,6112023,Artigo Publicado,Fatores que influenciam o stress dos professores da educação infantil da cidade de Buriticupu/MA,2020.0,,,,COMPETÊNCIA - REVISTA DA EDUCAÇÃO SUPERIOR DO SENAC-RS,,,"COUTINHO, FRANCISCA (COUTINHO, FRANCISCA), Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG)",A3
7113764946578925,6112023,Artigo Publicado,FATORES QUE INFLUENCIAM A PERCEPÇÃO DE QUALIDADE DOS CLIENTES EM SERVIÇOS DE ESTÉTICA E BELEZA,2020.0,,,,CADERNO PROFISSIONAL DE MARKETING,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Elissandra Pedrosa Almeida Costa (COSTA, E. P. A.)",C
7113764946578925,6112023,Artigo Publicado,BRANCOS E NEGROS: VANTAGENS EM DECISÕES DE EMPREGO,2021.0,,,,E&G - Revista Economia e Gestão,,,"Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)",A2
7113764946578925,6112023,Artigo Publicado,CALÇADÃO OU SHOPPING CENTER? PERCEPÇÃO DE QUALIDADE NA VISÃO DO CONSUMIDOR BRASILEIRO,2022.0,,,,GESTÃO E DESENVOLVIMENTO (FEEVALE),,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), DA CONCEIÇÃO SILVA, LEONILDE (DA CONCEIÇÃO SILVA, LEONILDE), HENRIQUE SOUZA LIMA, CÉSAR (HENRIQUE SOUZA LIMA, CÉSAR), EIDA MARQUES DOS REIS, LIANA (EIDA MARQUES DOS REIS, LIANA)",A2
7113764946578925,6112023,Artigo Publicado,Latinos americanos: desvantagens em decisões de emprego no Brasil,2023.0,,,,COMPETÊNCIA - REVISTA DA EDUCAÇÃO SUPERIOR DO SENAC-RS,,,"Lindemberg Costa Júnior (COSTA JUNIOR, LINDEMBERG), Leonilde da Conceição Silva (SILVA, L. C.)",A3
7113764946578925,6112023,Artigo Publicado,PERCEPÇÃO DOS ELEITORES NA ESCOLHA DO CANDIDATO A REITOR/DIRETOR GERAL NO INSTITUTO FEDERAL DO  MARANHÃO,2023.0,,,,FOCO (FACULDADE NOVO MILÊNIO),,,"Lara Kethelen Silva de Sousa (SOUSA, L. K. S.), Lindemberg Costa Júnior (COSTA JÚNIOR, LINDEMBERG), Liana Eida Marques dos Reis (REIS, L. E. M.), Suziany Leite Nascimento (NASCIMENTO, S. L.), Leonilde da Conceição Silva (SILVA, L. C.)",A3
