numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
3789595345955753,16052024,Artigo Publicado,Bacterial community associated with rhizosphere of maize and cowpea in a subsequent cultivation,2019.0,,,,APPLIED SOIL ECOLOGY,,,"DE ARAUJO, ADEMIR SERGIO FERREIRA (DE ARAUJO, ADEMIR SERGIO FERREIRA), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), SOUSA, RICARDO SILVA (SOUSA, RICARDO SILVA), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ANTUNES, JADSON EMANUEL LOPES (ANTUNES, JADSON EMANUEL LOPES), OLIVEIRA, LOUISE MELO DE SOUZA (OLIVEIRA, LOUISE MELO DE SOUZA), DE ARAUJO, FABIO FERNANDO (DE ARAUJO, FABIO FERNANDO), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), FIGUEIREDO, MARCIA DO VALE BARRETO (FIGUEIREDO, MARCIA DO VALE BARRETO)",B2
3789595345955753,16052024,Artigo Publicado,Dynamics of archaeal community in soil with application of composted tannery sludge,2019.0,,,,Scientific Reports,,,"Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), lucas william mendes (MENDES, L. W.), Leandro Nascimento Lemos (LEMOS, L. N.), Jadson Emanuel Lopes Antunes (ANTUNES, J. E. L.), marineide rodrigues do Amorim (AMORIM, M. R.), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), Wanderley Jose de Melo (MELO, W. J.), Paul J van den Brink (van Den BRINK, P. J.), Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.)",A1
3789595345955753,16052024,Artigo Publicado,Microbial co-occurrence network and its key microorganisms in soil with permanent application of composted tannery sludge,2021.0,,,,SCIENCE OF THE TOTAL ENVIRONMENT,,,"ISHIMOTO, CAROLINE KIE (ISHIMOTO, CAROLINE KIE), KUROSHU, REGINALDO MASSANOBU (KUROSHU, REGINALDO MASSANOBU), ESPOSITO, ELISA (ESPOSITO, ELISA), ARAUJO, ADEMIR SERGIO FERREIRA (ARAUJO, ADEMIR SERGIO FERREIRA), AONO, ALEXANDRE HILD (AONO, ALEXANDRE HILD), NAGAI, JAMES SHINITI (NAGAI, JAMES SHINITI), SOUSA, HÉRIO (SOUSA, HÉRIO), Ana Roberta Lima de Miranda (MIRANDA, ANA ROBERTA LIMA), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), MENDES, LUCAS WILLIAM (MENDES, LUCAS WILLIAM), ARAUJO, FABIO FERNANDO (ARAUJO, FABIO FERNANDO), DE MELO, WANDERLEY JOSÉ (DE MELO, WANDERLEY JOSÉ)",A3
3789595345955753,16052024,Artigo Publicado,Microbial communities in the rhizosphere of maize and cowpea respond differently to chromium contamination,2023.0,,,,CHEMOSPHERE,,,"Ademir Sérgio Ferreira de Araújo (ARAÚJO, A. S. F.), lucas william mendes (MENDES, L. W.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Arthur Prudêncio de Araújo Pereira (PEREIRA, A. P A.), MELO, WANDERLEY JOSÉ (MELO, WANDERLEY JOSÉ), MELO, VANIA MARIA MACIEL (MELO, VANIA MARIA MACIEL), SABRINA HERMELINDO VENTURA (VENTURA, S. H.), EUDEMIO SOUSA BRITO JUNIOR (BRITO JUNIOR, E. S.), ERIKA VALENTE DE MEDEIROS (MEDEIROS, E. V de), Fábio Fernando de Araújo (ARAUJO, F. F.)",A3
3789595345955753,16052024,Artigo Publicado,"Microbiological attributes, organic carbon, and soil hydrothermal regime under Copernicia prunifera waste application",2023.0,,,,International Journal Of Recycling Of Organic Waste In Agriculture,,,"Luiiz Alfredo Pinheiro Leal Nunes (NUNES, L. A. P. L.), Ana Roberta Lima de Miranda (MIRANDA, A. R. L.), Ricardo Silva de Sousa (SOUSA, R. S.)",B1
4754106250302979,4042024,Artigo Publicado,Ensino de Programação: uma revisão sistemática e as aplicações ao ensino profissionai,2020.0,,,,FUCAMP Cadernos,,,"Daniel Lima Gomes Júnior (GOMES JR, D. L.), Diego Ted Rodrigues Bogea (BOGEA, D. T. R.)",B3
4754106250302979,4042024,Artigo Publicado,Uso de português estruturado no ensino de alunos de computação com geração automatizada de códigos em linguagem Python,2022.0,,,,https://doi.org/10.34117/bjdv8n5-354,,,"ULYSSES SANTOS SOUSA (SOUSA, U. S.), Daniel Lima Gomes Júnior (GOMES JR, DANIEL LIMA), Kerlyson dos Santos Silva (SILVA, K. S.), Elias Rocha Lima (LIMA, E. R.)",B2
5620474615074689,6022024,Artigo Publicado,Phytostimulants influence the vase life of Heliconia psittacorum CV. golden torch,2019.0,,,,POSTHARVEST BIOLOGY AND TECHNOLOGY,,,"Diogo Herison Silva Sardinha (Sardinha, Diogo Herison Silva), Rodrigues, Antonia Alice Costa (Rodrigues, Antonia Alice Costa), RIBEIRO, SUZANE SÁ MATOS (RIBEIRO, SUZANE SÁ MATOS), DINIZ, NATHALIA BANDEIRA (DINIZ, NATHALIA BANDEIRA), CAMPOS NETO, JOSE RIBAMAR MUNIZ (CAMPOS NETO, JOSE RIBAMAR MUNIZ), REIS, FABRÍCIO DE OLIVEIRA (REIS, FABRÍCIO DE OLIVEIRA)",A4
3629845543120019,29082023,Artigo Publicado,Microbiolização de sementes de arroz com Bacillus spp. na redução de patógenos,2020.0,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"NASCIMENTO, IVANEIDE DE OLIVEIRA (NASCIMENTO, IVANEIDE DE OLIVEIRA), RODRIGUES, ANTÔNIA ALICE COSTA (RODRIGUES, ANTÔNIA ALICE COSTA), ANDRADE, KELE SOUSA PIRES (ANDRADE, KELE SOUSA PIRES), CUNHA, WANDERSON LIMA (CUNHA, WANDERSON LIMA), MORAES, FLÁVIO  HENRIQUE  REIS (MORAES, FLÁVIO  HENRIQUE  REIS), Flávia Arruda de Sousa (SOUSA, Flávia Arruda de)",B4
3630171389708262,25042024,Artigo Publicado,Dynamic Phase Transformation Behavior of a Nb-microalloyed Steel during Roughing Passes at Temperatures above the Ae3,2019.0,,,,Metals,,,"Samuel Filgueiras Rodrigues (RODRIGUES, S. F.), SICILIANO, FULVIO (SICILIANO, FULVIO), Clodualdo Aranas Jr (Arana Júnior, C.), Eden Santos Silva (Silva, E. S.), Gedeon Silva Reis (REIS, G. S.), Mohammad Jahazi (Jahazi, M.), JONAS, JOHN JOSEPH (JONAS, JOHN JOSEPH)",A2
3630171389708262,25042024,Artigo Publicado,Strain-Induced Ferrite Formation During Steckel Mill Simulations with Varying Roughing Pass Schedules,2019.0,,,,Metals,,,"Henry Barros Palhano (PALHANO, H.B.), Clodualdo Aranas Jr (Arana Júnior, C.), Samuel Filgueiras Rodrigues (RODRIGUES, S. F.), Eden Santos Silva (Silva, E. S.), SICILIANO, FULVIO (SICILIANO, FULVIO), Edson Jansen Pedrosa de Miranda Junior (MIRANDA JUNIOR, E. J. P.), Gedeon Silva Reis (REIS, G. S.), JONAS, JOHN JOSEPH (JONAS, JOHN JOSEPH)",A2
3630171389708262,25042024,Artigo Publicado,Delay in the static softening kinetics of a Nb-N-bearing austenitic stainless steel,2019.0,,,,Materials Research Express,,,"LEITÃO FILHO, SEBASTIÃO R J B (LEITÃO FILHO, SEBASTIÃO R J B), SILVA, EDEN SANTOS (SILVA, EDEN SANTOS), RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.), ARANAS JR., CLODUALDO (ARANAS JR., CLODUALDO), MIRANDA JR., EDSON JANSEN P (MIRANDA JR., EDSON JANSEN P), Gedeon Silva Reis (REIS, GEDEON SILVA), Balancin, Oscar (Balancin, Oscar)",A1
